HomeTeam,AwayTeam,HomeGoals,AwayGoals
Cartouche,Victoria,3,2
Cartouche,Voorne,5,7
Roomburg,Hudito,1,1
Roomburg,Cartouche,4,3
Voorne,Hudito,5,2
Voorne,Forcial,6,3
Barendrecht,Victoria,3,2
Barendrecht,HDM,5,3
Hudito,Cartouche,2,7
Hudito,Barendrecht,1,4
Victoria,HDM,0,3
Victoria,Voorne,5,3
Forcial,Barendrecht,0,2
Forcial,Roomburg,4,1
HDM,Forcial,6,1
HDM,Roomburg,5,2
Victoria,Hudito,4,1
HDM,Voorne,7,5
Forcial,Cartouche,2,2
Barendrecht,Roomburg,7,1
